Ig Inq,Tipo Procedimento,Situação Instauracao ,Tipo Elucidação,Data Instauração,Data Remessa,Desc Fato,Tipo Fato,Tipo Particip,Idade Participante,Sexo,Genero,Estado Civil,Instrucao,Cor Cadastro,Cor Autodeclarada,Med Protetiva,Qtde Vit Domest Sexoougenero
11127664,Inquérito,Instaurado e Remetido,Elucidado,27/9/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),40,Masculino,,Não informado,Não informado,,,Não se aplica,2
11127667,Inquérito,Instaurado e Remetido,Elucidado,27/9/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),63,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11127671,Inquérito,Instaurado e Remetido,Elucidado,27/9/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),53,Masculino,Masculino,Solteiro(a),Não informado,Branca,Branca,Não se aplica,1
11127685,Inquérito,Instaurado e Remetido,Elucidado,27/9/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),36,Masculino,Masculino,Solteiro(a),Outros,Branca,Branca,Não se aplica,1
11127693,Inquérito,Instaurado e Remetido,Elucidado,27/9/2023,20/10/2023,AMEACA,Consumado,Indiciado(a),31,Masculino,Masculino,Solteiro(a),Ensino médio,Branca,Branca,Não se aplica,1
11127696,Inquérito,Instaurado e Remetido,Elucidado,27/9/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),22,Masculino,Masculino,Solteiro(a),Ensino médio,Branca,Branca,Não se aplica,1
11127710,Inquérito,Instaurado e Remetido,Elucidado,27/9/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),24,Feminino,Feminino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11127742,Inquérito,Instaurado e Remetido,Elucidado,27/9/2023,20/10/2023,VIOLENCIA PSICOL CONTRA MULHER,Consumado,Indiciado(a),18,Masculino,Masculino,Solteiro(a),Ensino fundamental,Parda,Branca,Não se aplica,1
11127799,Inquérito,Instaurado e Remetido,Elucidado,27/9/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),55,Masculino,Masculino,Solteiro(a),Ensino fundamental,Preta,Preta,Não se aplica,1
11129363,Inquérito,Instaurado e Remetido,Elucidado,28/9/2023,20/10/2023,VIAS DE FATO,Consumado,Indiciado(a),40,Masculino,Masculino,Solteiro(a),Ensino fundamental,Preta,Preta,Não se aplica,1
11129366,Inquérito,Instaurado e Remetido,Elucidado,28/9/2023,20/10/2023,VIAS DE FATO,Consumado,Indiciado(a),70,Masculino,Masculino,Casado(a),Ensino superior,Branca,Branca,Não se aplica,1
11131011,Inquérito,Instaurado e Remetido,Elucidado,2/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),43,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11131514,Inquérito,Instaurado e Remetido,Elucidado,2/10/2023,20/10/2023,AMEACA,Consumado,Acusado(a),34,Masculino,Masculino,Solteiro(a),Outros,Branca,Branca,Não se aplica,1
11132016,Inquérito,Instaurado e Remetido,Elucidado,2/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Indiciado(a),26,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11132267,Inquérito,Instaurado e Remetido,Elucidado,2/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),36,Feminino,Masculino,Solteiro(a),Outros,Preta,Preta,Não se aplica,1
11132748,Inquérito,Instaurado e Remetido,Elucidado,3/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Acusado(a),33,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,Não se aplica,1
11132748,Inquérito,Instaurado e Remetido,Elucidado,3/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Indiciado(a),32,Masculino,Masculino,Solteiro(a),Outros,Branca,Branca,Não se aplica,1
11133863,Inquérito,Instaurado e Remetido,Elucidado,3/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),41,Masculino,Masculino,Solteiro(a),Ensino médio,Branca,Branca,Não se aplica,1
11135701,Inquérito,Instaurado e Remetido,Elucidado,4/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),45,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11135986,Inquérito,Instaurado e Remetido,Elucidado,5/10/2023,20/10/2023,VIOLENCIA PSICOL CONTRA MULHER,Consumado,Suspeito(a),28,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11136014,Inquérito,Instaurado e Remetido,Elucidado,5/10/2023,20/10/2023,VIAS DE FATO,Consumado,Suspeito(a),18,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11136040,Inquérito,Instaurado e Remetido,Elucidado,5/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),30,Masculino,Masculino,Solteiro(a),Ensino médio,Preta,Preta,Não se aplica,1
11136194,Inquérito,Instaurado e Remetido,Elucidado,5/10/2023,20/10/2023,VIAS DE FATO,Consumado,Suspeito(a),43,Masculino,Masculino,Separado(a),Não informado,Branca,Branca,Não se aplica,1
11137619,Inquérito,Instaurado e Remetido,Elucidado,6/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),44,Feminino,Feminino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11138053,Inquérito,Instaurado e Remetido,Elucidado,6/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),53,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11138414,Inquérito,Instaurado e Remetido,Elucidado,9/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),20,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11138599,Inquérito,Instaurado e Remetido,Elucidado,9/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),30,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11139369,Inquérito,Instaurado e Remetido,Elucidado,9/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),45,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11139554,Inquérito,Instaurado e Remetido,Elucidado,9/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),34,Masculino,Masculino,Solteiro(a),Ensino médio,Branca,Branca,Não se aplica,1
11139702,Inquérito,Instaurado e Remetido,Elucidado,9/10/2023,20/10/2023,PERSEGUICAO,Consumado,Suspeito(a),31,Masculino,Masculino,Solteiro(a),Ensino médio,Branca,Branca,Não se aplica,1
11140400,Inquérito,Instaurado e Remetido,Elucidado,10/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Indiciado(a),23,Masculino,Masculino,Solteiro(a),Ensino médio,Preta,Preta,Não se aplica,1
11140893,Inquérito,Instaurado e Remetido,Elucidado,10/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),42,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11141070,Inquérito,Instaurado e Remetido,Elucidado,10/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),45,Masculino,Masculino,Solteiro(a),Não informado,Branca,Branca,Não se aplica,1
11141337,Inquérito,Instaurado e Remetido,Elucidado,10/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),41,Masculino,Masculino,Solteiro(a),Ensino fundamental,Parda,Branca,Não se aplica,1
11142864,Inquérito,Instaurado e Remetido,Elucidado,11/10/2023,20/10/2023,VIAS DE FATO,Consumado,Suspeito(a),44,Masculino,Masculino,Solteiro(a),Ensino fundamental,Preta,Preta,Não se aplica,1
11142932,Inquérito,Instaurado e Remetido,Elucidado,11/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Indiciado(a),43,Masculino,Masculino,Separado(a),Ensino superior,Branca,Branca,Não se aplica,1
11143007,Inquérito,Instaurado e Remetido,Elucidado,11/10/2023,20/10/2023,PERTURBACAO DO TRAB OU SOSSEGO ALHEIOS,Consumado,Suspeito(a),40,Masculino,Masculino,Solteiro(a),Outros,Branca,Branca,Não se aplica,1
11143763,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),27,Masculino,Masculino,Solteiro(a),Ensino médio,Mulato,,Não se aplica,1
11143774,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,AMEACA,Consumado,Indiciado(a),38,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11143975,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Indiciado(a),31,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11143992,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,FEMINICIDIO,Consumado,Indiciado(a),49,Masculino,Masculino,Amigado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11144050,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),36,Masculino,Masculino,Amigado(a),Não informado,Branca,Branca,Não se aplica,1
11144152,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,INJURIA,Consumado,Suspeito(a),45,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11144164,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),23,Masculino,Masculino,Amigado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11144344,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),55,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,2
11144354,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,VIOLENCIA PSICOL CONTRA MULHER,Consumado,Suspeito(a),45,Masculino,Masculino,Solteiro(a),Não informado,Branca,Branca,Não se aplica,1
11144397,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,FURTO QUALIFICADO,Consumado,Suspeito(a),32,Masculino,Masculino,Solteiro(a),Ensino médio,Parda,Parda,Não se aplica,1
11144399,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,VIAS DE FATO,Consumado,Suspeito(a),27,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11144525,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Indiciado(a),32,Masculino,Masculino,Casado(a),Ensino fundamental,Parda,Parda,Não se aplica,1
11144566,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Indiciado(a),39,Masculino,Masculino,Solteiro(a),Ensino médio,Branca,Branca,Não se aplica,1
11144578,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,VIAS DE FATO,Consumado,Suspeito(a),48,Masculino,Masculino,Amigado(a),Outros,Branca,Branca,Não se aplica,1
11144581,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Indiciado(a),23,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11144672,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,VIAS DE FATO,Consumado,Suspeito(a),29,Masculino,Masculino,Amigado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11144716,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),21,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11144884,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),33,Masculino,Feminino,Solteiro(a),Ensino fundamental,Parda,Parda,Não se aplica,1
11144921,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),45,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11144922,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),37,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11144925,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,VIAS DE FATO,Consumado,Suspeito(a),26,Masculino,Masculino,Solteiro(a),Ensino fundamental,Preta,Preta,Não se aplica,1
11144950,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,AMEACA,Consumado,Indiciado(a),46,Masculino,Masculino,Amigado(a),Outros,Indígena,Indígena,Não se aplica,1
11145035,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Indiciado(a),34,Masculino,Masculino,Solteiro(a),Outros,Branca,Branca,Não se aplica,1
11145224,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,SEQUESTRO E CARCERE PRIVADO,Consumado,Indiciado(a),28,Masculino,Masculino,Solteiro(a),Não informado,Branca,Branca,Não se aplica,1
11145241,Inquérito,Instaurado e Remetido,Elucidado,16/10/2023,20/10/2023,VIOLENCIA PSICOL CONTRA MULHER,Consumado,Indiciado(a),43,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,3
11145843,Inquérito,Instaurado e Remetido,Elucidado,17/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Indiciado(a),24,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11146042,Inquérito,Instaurado e Remetido,Elucidado,17/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),23,Masculino,Masculino,Solteiro(a),Ensino fundamental,Mulato,,Não se aplica,1
11146135,Inquérito,Instaurado e Remetido,Elucidado,17/10/2023,20/10/2023,AMEACA,Consumado,Indiciado(a),57,Masculino,Masculino,Solteiro(a),Ensino fundamental,Preta,Branca,Não se aplica,1
11146169,Inquérito,Instaurado e Remetido,Elucidado,17/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),37,Masculino,Masculino,Solteiro(a),Outros,Branca,Branca,Não se aplica,1
11147269,Inquérito,Instaurado e Remetido,Elucidado,18/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),31,Masculino,Masculino,Solteiro(a),Ensino fundamental,Parda,Parda,Não se aplica,1
11147271,Inquérito,Instaurado e Remetido,Elucidado,18/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),32,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11147274,Inquérito,Instaurado e Remetido,Elucidado,18/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),38,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11147274,Inquérito,Instaurado e Remetido,Elucidado,18/10/2023,20/10/2023,PERTURBACAO DO TRAB OU SOSSEGO ALHEIOS,Consumado,Suspeito(a),38,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11147539,Inquérito,Instaurado e Remetido,Elucidado,18/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Indiciado(a),62,Masculino,Masculino,Solteiro(a),Não alfabetizado,Branca,Branca,Não se aplica,1
11147753,Inquérito,Instaurado e Remetido,Elucidado,18/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),58,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11148326,Inquérito,Instaurado e Remetido,Elucidado,18/10/2023,20/10/2023,AMEACA,Consumado,Indiciado(a),46,Masculino,Masculino,Solteiro(a),Ensino médio,Branca,Branca,Não se aplica,1
11148748,Inquérito,Instaurado e Remetido,Elucidado,19/10/2023,20/10/2023,AMEACA,Consumado,Indiciado(a),26,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11148963,Inquérito,Instaurado e Remetido,Elucidado,19/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),33,Feminino,Feminino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11149100,Inquérito,Instaurado e Remetido,Elucidado,19/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),39,Masculino,Masculino,Solteiro(a),Não informado,Branca,Branca,Não se aplica,1
11149502,Inquérito,Instaurado e Remetido,Elucidado,19/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),43,Masculino,Masculino,Solteiro(a),Outros,Branca,Branca,Não se aplica,1
11149582,Inquérito,Instaurado e Remetido,Elucidado,19/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),45,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11149833,Inquérito,Instaurado e Remetido,Elucidado,19/10/2023,20/10/2023,VIAS DE FATO,Consumado,Indiciado(a),30,Masculino,Masculino,Solteiro(a),Ensino fundamental,Preta,,Não se aplica,1
11149901,Inquérito,Instaurado e Remetido,Elucidado,19/10/2023,20/10/2023,SEQUESTRO E CARCERE PRIVADO,Consumado,Indiciado(a),32,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11149947,Inquérito,Instaurado e Remetido,Elucidado,19/10/2023,20/10/2023,VIOLENCIA PSICOL CONTRA MULHER,Consumado,Suspeito(a),47,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11149975,Inquérito,Instaurado e Remetido,Elucidado,19/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Indiciado(a),57,Masculino,Masculino,Solteiro(a),Não informado,Branca,Branca,Não se aplica,1
11149987,Inquérito,Instaurado e Remetido,Elucidado,19/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),30,Masculino,Feminino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11150250,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Indiciado(a),43,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11150289,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),28,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11150295,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,LESAO CORPORAL LEVE,Consumado,Suspeito(a),59,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11150342,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,MAUS TRATOS CONTRA IDOSO,Consumado,Suspeito(a),50,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11150342,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,SEQUESTRO E CARCERE PRIVADO,Consumado,Indiciado(a),50,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11150417,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),52,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11150570,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),39,Masculino,Masculino,Solteiro(a),Ensino médio,Branca,Branca,Não se aplica,1
11150672,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,VIAS DE FATO,Consumado,Suspeito(a),22,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11150788,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,VIAS DE FATO,Consumado,Suspeito(a),29,Masculino,Masculino,Solteiro(a),Ensino fundamental,Parda,Parda,Não se aplica,1
11150893,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),42,Masculino,Masculino,Solteiro(a),Ensino fundamental,Preta,Preta,Não se aplica,1
11150978,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),44,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11151061,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,PERSEGUICAO,Consumado,Suspeito(a),49,Masculino,Masculino,Solteiro(a),Ensino médio,Branca,Branca,Não se aplica,1
11151261,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,PERSEGUICAO,Consumado,Suspeito(a),48,Masculino,Masculino,Casado(a),Outros,Branca,Branca,Não se aplica,1
11151491,Inquérito,Instaurado e Remetido,Elucidado,20/10/2023,20/10/2023,AMEACA,Consumado,Indiciado(a),41,Masculino,Masculino,Solteiro(a),Não alfabetizado,Branca,Branca,Não se aplica,1
7221161,Inquérito,Instaurado e Remetido,"Elucidado, sem Indiciamento",3/9/2014,20/10/2023,LESAO CORPORAL,Consumado,Acusado(a),41,Masculino,,Amigado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
